Ss/list order:,words,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,57a,58a,59a,60a,61a,62a,63a,64a,65a,12b,13b,14b,15b,16b,17b,18b,19b,20b,21b,44b,46b,47b,48b,50b,52b,53b,54b,55b,56b,22c,23c,25c,26c,27c,28c,29c,30c,31c,32c,66c,67c,69c,70c,71c,72c,73c,74c,75c,76c,33d,34d,35d,36d,37d,38d,39d,40d,41d,42d,43d,77d,79d,81d,82d,85d,86d,87d,88d,89d
9,ankle,3,2,10,10,5,9,5,3,1,0,4,0,0,0,10,0,1,1,0,0,4,6,0,2,10,7,5,8,3,3,7,0,0,3,7,3,7,0,11,0,0,0,0,1,5,1,0,0,0,0,8,6,3,0,3,3,1,14,6,7,0,4,9,0,0,0,1,11,0,5,0,10,0,13,8,0,9,2,0,4
10,arm,5,8,6,9,9,8,2,0,0,0,0,0,10,0,0,4,2,2,0,0,0,0,0,0,5,12,0,3,12,2,0,6,8,0,10,0,0,3,0,0,1,8,0,2,0,0,0,0,0,1,9,0,0,1,0,0,2,1,7,0,3,5,0,12,9,0,2,3,0,0,0,6,0,3,6,0,10,0,0,0
11,boot,2,4,12,0,12,1,15,8,6,6,0,0,4,0,1,7,3,3,8,0,0,0,5,3,4,4,8,0,13,10,3,0,9,4,0,14,3,0,0,4,2,0,1,3,0,3,0,0,0,0,12,0,0,2,5,0,0,2,5,3,0,9,11,0,0,1,0,6,10,11,0,4,8,4,0,9,6,0,0,0
12,inch,0,12,2,0,0,2,12,0,0,1,12,9,0,10,0,13,0,4,5,5,0,0,7,9,0,2,0,0,4,7,5,1,0,0,0,11,0,9,8,3,3,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,10,7,5,0,0,0,8,0,9,4,13,0,0,1,0,12,1,0,0
13,sock,0,3,0,5,1,3,6,0,9,2,1,1,3,2,0,1,0,5,10,0,1,1,0,11,11,8,2,6,14,13,9,9,11,0,3,5,0,10,5,0,4,0,2,5,0,6,1,1,2,8,1,1,9,4,8,4,3,4,2,8,0,1,0,3,1,6,3,0,1,3,1,5,1,2,3,0,0,5,0,1
14,knee,4,0,3,8,2,4,0,1,2,3,2,2,0,3,2,2,0,6,0,1,2,2,11,10,9,3,3,9,8,12,6,0,0,0,8,4,6,0,2,7,5,0,3,6,1,4,2,2,3,2,2,2,5,5,6,0,4,5,8,1,6,2,8,1,2,0,4,12,2,4,2,0,2,0,4,6,2,0,7,2
15,mouth,7,1,4,1,3,5,1,2,3,5,3,3,0,1,0,3,0,7,1,2,3,3,3,1,6,1,1,1,7,11,1,2,6,0,0,8,8,6,1,0,6,6,4,7,2,2,3,3,1,3,3,3,6,6,7,0,5,6,1,2,7,3,10,2,3,0,5,1,3,6,3,1,3,1,2,7,1,6,8,3
othr,,0,0,0,0,0,0,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1
CL,wish,0,0,7,6,0,10,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,10,0,0,1,6,0,11,4,0,0,5,0,9,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,9,0,5,0,0,0,0,0,0,5,0,2,0,0,0,0,4,8,0,0,0,0
1,want,5,0,8,0,9,6,9,12,5,1,9,3,0,8,6,5,4,13,4,0,5,1,4,1,0,10,12,6,0,4,2,2,0,6,3,6,0,0,0,7,6,1,5,0,3,5,6,1,6,0,7,5,1,3,1,0,0,5,1,7,2,7,4,9,4,5,5,6,9,1,1,4,4,4,3,1,7,0,1,4
2,dream,7,4,9,4,5,0,7,9,10,2,7,7,8,9,4,6,0,11,5,5,6,0,6,2,1,11,7,0,0,5,0,0,2,0,1,8,5,6,1,6,7,3,9,9,4,6,4,4,4,0,6,4,2,5,0,4,0,0,6,2,0,8,6,7,5,6,6,9,7,10,7,0,0,5,0,2,0,5,2,5
3,desire,4,5,6,5,6,0,5,11,6,3,8,4,0,10,5,7,5,12,6,6,7,2,9,3,2,7,11,8,6,6,4,4,3,7,2,7,6,0,9,0,8,2,6,10,5,7,5,5,0,0,8,0,6,4,2,5,0,4,4,3,3,6,11,8,6,7,7,7,8,0,0,5,5,0,5,3,6,6,3,7
4,hope,0,6,5,7,8,9,0,10,7,8,10,0,5,0,0,9,6,10,0,0,8,0,10,0,0,0,9,0,5,7,3,0,1,8,5,1,7,0,0,0,0,4,7,0,0,0,0,0,0,0,5,0,0,6,3,0,0,3,0,1,4,13,5,6,0,0,8,8,0,3,0,6,6,0,0,0,0,4,6,0
5,well,0,7,10,11,10,12,0,13,0,0,12,0,6,0,8,0,0,9,0,0,0,0,12,0,0,0,0,7,11,0,0,0,0,0,6,2,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,9,0,10
6,think,0,0,12,8,0,3,8,3,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,10,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,9,0,0,7,4,5,0,0,8
7,star,0,8,0,0,0,11,10,4,0,0,11,0,7,11,7,4,0,0,0,0,9,0,7,9,7,9,8,4,0,10,10,0,4,0,10,0,0,0,0,8,12,0,4,6,0,0,8,0,5,0,0,7,5,7,0,0,3,0,11,5,0,9,10,10,0,0,0,0,0,11,0,10,7,0,6,0,0,0,8,11
8,bone,0,1,11,10,0,1,0,8,9,4,14,0,0,0,0,3,0,0,0,7,0,4,0,0,0,0,0,5,10,0,7,0,6,9,8,9,0,0,8,0,0,0,0,7,0,0,7,0,7,0,0,8,0,0,0,0,0,7,8,4,7,10,0,11,0,0,0,0,0,0,0,11,0,0,0,0,9,0,0,12
9,ring,0,0,0,0,0,0,0,7,8,0,13,6,0,6,0,0,9,1,0,8,0,0,8,8,0,0,5,0,4,0,8,0,7,10,11,0,0,0,7,0,0,0,0,8,0,0,10,0,0,1,0,9,0,0,4,1,0,6,10,0,6,11,9,0,0,0,0,0,10,8,6,0,0,0,0,0,0,0,5,0
10,wash,0,0,0,0,0,5,11,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,11,0,0,8,4,0,8,0,0,0,0,1,0,0,4,9,0,0,9,5,0,0,0,0,0,0,0,2,0,0,0,0,5,2,2,8,0,0,0,12,8,0,0,0,0,0,0,0,0,12,0,0,0,0,8,8,0,0
11,thought,0,0,13,0,7,13,3,0,1,0,1,0,3,1,3,0,8,3,8,3,0,5,0,0,3,5,0,0,3,0,9,5,8,0,0,11,0,8,4,5,1,6,0,1,0,0,0,0,9,0,0,3,0,9,6,3,0,0,5,0,0,14,0,1,0,0,1,10,0,4,8,0,0,0,0,7,4,0,0,9
12,get,6,0,1,9,1,0,0,5,3,0,2,0,1,2,0,8,11,4,0,4,4,8,5,4,4,4,6,9,2,8,11,0,9,2,9,3,3,2,0,2,2,0,0,2,0,1,0,6,3,5,1,0,0,10,0,0,4,0,3,0,0,4,0,2,0,4,2,0,2,9,2,7,0,0,0,6,0,1,0,6
13,true ,1,0,2,1,2,2,0,6,2,7,3,0,2,3,0,0,1,5,1,0,1,0,3,5,0,1,2,2,1,1,0,3,0,3,0,4,2,0,2,1,3,0,1,3,2,2,1,0,0,4,4,2,9,0,0,0,5,0,0,0,0,1,1,3,1,1,0,3,3,0,3,1,1,1,0,0,2,0,0,1
14,for,2,2,3,2,3,7,0,0,0,5,4,1,0,4,1,1,2,6,2,2,2,0,1,6,5,2,0,0,0,0,5,7,0,4,0,0,0,3,0,3,4,0,2,4,0,3,2,2,2,0,2,0,0,0,0,0,0,0,7,0,10,2,2,4,2,2,3,2,4,0,4,2,2,2,1,9,3,2,4,2
15,money,3,3,4,3,4,8,2,1,4,6,5,2,4,5,2,2,3,7,3,1,3,6,2,7,6,3,3,1,7,3,6,1,5,5,7,5,1,4,3,4,5,7,3,5,1,4,3,3,1,6,3,1,8,1,7,6,1,1,2,6,1,3,3,5,3,3,4,1,5,5,5,3,3,3,2,5,1,3,7,3
othr,,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
CL,smoke,0,0,8,0,0,7,7,5,0,4,0,0,0,8,9,0,12,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,4,0,6,0,0,2,0,11,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,11,0,7,9,0,0,9,0,0,9,5,0,0
1,cigarette,5,5,5,2,3,8,5,0,6,1,7,5,1,1,7,5,5,8,3,3,5,1,7,1,6,9,7,1,4,4,8,1,2,5,2,5,1,5,5,9,8,1,6,9,4,6,6,5,7,7,8,6,2,4,1,0,4,9,8,1,2,6,1,3,5,4,4,4,4,0,6,6,7,6,1,1,3,8,1,3
2,puff,6,4,0,10,6,6,9,0,7,0,3,8,0,3,4,6,11,7,8,8,4,5,6,9,3,4,8,12,0,8,10,6,0,0,0,11,0,6,0,6,0,3,8,7,5,7,7,6,6,11,7,8,3,6,0,0,0,12,0,5,5,7,2,4,0,5,3,5,0,11,8,4,0,0,0,0,0,0,2,5
3,blaze,0,6,0,5,8,10,0,8,0,0,5,0,0,0,0,8,0,11,6,0,0,0,0,0,9,0,0,11,0,0,0,0,9,10,3,0,0,3,0,8,7,4,10,6,0,0,0,0,5,12,0,0,0,5,3,0,0,11,9,0,0,8,3,0,0,0,0,9,10,0,1,9,9,0,5,4,0,0,3,6
4,billows,0,8,7,6,0,9,0,0,0,5,4,7,0,0,0,9,0,9,0,0,7,0,9,5,4,12,10,6,0,0,2,9,7,12,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,13,4,0,4,0,0,0,0,7,10,8,6,9,0,5,9,0,8,10,0,12,0,5,0,0,3,2,0,4,4,8
5,pollution,4,0,9,0,0,0,8,0,5,0,6,0,8,9,5,0,0,10,0,6,0,4,10,7,5,7,9,8,0,9,12,0,10,9,5,7,3,8,9,0,0,5,0,5,0,0,0,0,0,0,11,3,6,8,0,0,6,6,0,6,0,12,4,6,0,0,9,7,0,4,3,10,4,0,4,0,0,10,0,7
6,ashes,0,9,10,3,0,0,10,0,11,0,12,0,0,2,0,0,9,14,0,0,0,8,11,8,0,0,0,7,0,10,9,0,4,0,0,0,0,9,0,0,0,7,12,0,6,0,9,0,9,10,0,4,0,9,4,0,0,0,0,0,0,11,5,7,7,3,0,0,0,9,0,0,0,0,0,0,5,6,5,0
7,cigar ,3,7,6,1,7,4,4,0,10,2,9,0,2,4,8,4,8,6,4,4,0,2,5,2,2,8,3,2,5,5,7,0,6,6,1,4,2,4,4,10,5,8,7,10,3,0,8,4,8,9,9,5,0,7,2,0,5,8,6,4,4,10,6,8,4,0,6,6,6,8,7,7,6,7,2,6,4,7,0,4
8,chimney,0,0,0,0,4,0,11,0,4,6,0,0,0,0,0,0,7,0,2,0,0,3,8,0,1,6,6,0,0,11,0,0,0,8,7,0,0,0,2,0,0,0,9,4,0,0,4,0,0,8,13,0,0,0,5,0,7,0,0,0,3,0,7,0,10,0,7,0,0,10,2,0,0,0,0,0,8,3,0,0
9,cough,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,10,12,0,0,0,0,0,6,10,11,0,0,0,0,5,0,0,11,0,10,0,0,7,0,11,0,0,0,0,8,5,0,0,0,10,0,0,0,8,0,0,0,4,0,0,0,8,10,8,0,0,0,7,5,0,0,8,0,9,3,0,0,0,0
10,tobacco,9,0,0,0,0,0,12,3,8,8,14,4,5,0,6,0,0,13,0,0,6,0,0,4,0,5,0,0,0,6,11,5,0,13,0,3,5,0,3,0,6,6,11,8,0,1,10,0,4,0,3,9,0,0,9,1,3,10,5,3,0,13,0,0,0,0,0,0,5,0,0,0,10,10,0,7,7,0,9,10
11,stink,0,1,0,0,0,0,0,7,9,0,8,6,0,7,2,3,0,1,5,2,8,6,4,3,0,10,4,3,0,7,0,7,11,2,6,2,0,0,8,2,4,0,0,0,0,2,0,0,3,6,12,7,0,0,0,0,0,5,7,11,0,5,0,0,0,0,0,0,0,6,4,0,0,0,0,8,6,0,0,9
12,match,8,10,1,0,0,0,3,6,0,9,15,0,0,0,3,7,1,2,7,0,0,0,2,0,0,0,1,10,3,12,6,4,12,3,9,9,0,0,0,3,9,0,2,0,0,3,11,0,0,2,0,0,0,0,11,0,0,1,0,0,0,4,10,0,1,0,0,3,3,13,0,0,2,8,6,0,0,0,0,0
13,lungs,7,3,2,8,2,1,6,4,1,3,0,3,0,10,10,0,2,3,0,1,1,0,0,0,7,2,0,5,0,3,1,8,1,14,8,6,0,2,0,4,3,0,3,1,7,4,1,0,10,3,0,2,1,1,6,3,0,2,2,10,0,1,0,11,0,0,10,8,0,0,0,3,3,4,7,0,2,0,6,0
14,flames,1,0,3,4,9,2,2,0,2,10,1,2,9,0,0,1,3,4,0,0,2,7,1,0,0,3,0,9,2,2,3,2,3,4,10,8,0,7,1,5,2,0,4,2,1,0,2,1,2,4,2,0,0,2,0,4,2,3,3,0,0,2,0,1,6,1,1,2,1,2,0,2,0,2,0,5,10,1,0,0
15,stain,2,2,4,7,1,3,1,2,3,7,2,1,0,6,1,2,4,5,1,5,3,0,3,0,0,1,2,4,1,1,4,3,5,1,0,1,0,1,0,1,1,0,1,3,2,5,3,2,1,5,1,1,5,3,7,0,1,4,1,9,1,3,0,2,2,2,2,1,2,3,5,1,1,1,8,9,1,2,8,1
othr,,0,0,0,1,0,1,0,1,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,0,1,2,1,0,2,1,0,1,0,0,0,0,0,1,0,1
CL,needle,6,0,0,0,0,8,7,6,10,0,7,0,0,3,4,0,7,0,0,7,9,0,8,0,0,0,0,10,0,11,1,0,0,12,0,0,0,0,2,6,0,5,0,6,10,0,0,0,0,0,9,0,2,13,0,4,0,6,0,3,5,15,0,5,9,0,5,5,3,0,0,0,0,0,0,0,0,2,6,0
1,thread,4,0,9,9,0,0,0,0,0,0,0,0,0,8,0,9,6,10,10,0,0,8,0,8,1,10,10,8,7,4,7,1,7,4,3,1,5,10,3,7,13,7,11,7,3,0,9,0,8,10,7,8,1,14,1,0,0,9,10,7,4,4,3,0,0,0,0,8,5,11,0,1,0,3,8,1,11,8,2,8
2,pin,9,5,11,7,7,0,0,0,0,0,12,9,0,0,5,5,0,11,5,0,1,0,0,0,2,8,3,5,3,1,0,3,4,5,6,0,0,0,0,4,6,11,9,0,4,6,8,3,5,5,0,3,0,11,2,0,0,7,5,9,0,5,4,0,5,4,0,0,0,8,7,12,6,5,0,9,3,0,0,7
3,eye,5,4,6,4,9,0,0,7,11,0,6,0,5,2,3,6,8,0,4,0,2,4,9,7,3,12,0,6,0,3,2,7,0,11,10,9,0,5,0,5,0,6,8,9,5,7,6,0,0,9,8,6,3,12,0,0,0,8,8,0,3,8,5,6,0,0,0,9,0,10,8,2,0,4,9,0,10,9,0,6
4,sewing,0,10,8,8,0,0,3,11,6,0,11,6,0,1,0,10,0,12,3,0,3,0,4,6,0,11,8,0,0,5,4,0,0,6,1,2,6,9,5,8,8,0,10,8,9,11,0,0,7,0,12,5,0,9,3,0,0,0,9,0,2,3,0,0,8,0,0,0,0,13,0,4,0,0,1,0,2,0,1,0
5,hole,0,6,10,5,10,7,4,0,9,0,10,0,0,7,7,8,1,9,0,0,4,0,0,5,0,14,6,9,9,2,6,0,8,0,2,0,7,11,6,0,12,8,7,10,0,0,7,0,0,0,6,7,0,0,0,0,0,0,7,8,0,16,6,0,0,0,0,11,4,15,0,3,0,0,7,0,0,0,0,0
6,point,0,7,0,0,0,9,6,0,0,0,9,0,6,0,0,0,0,0,0,0,0,5,0,0,0,7,7,11,0,12,8,0,0,7,0,0,0,7,0,0,11,0,6,5,0,8,0,0,0,8,10,0,0,0,0,0,0,11,6,0,0,9,13,0,6,0,0,0,0,14,0,7,0,0,0,0,0,0,3,0
7,prick,0,0,0,6,0,6,0,0,7,0,5,0,0,0,6,7,10,7,8,0,0,6,7,4,8,6,0,0,0,0,9,8,10,8,7,0,0,8,0,12,5,10,0,4,0,10,10,0,0,7,0,0,5,15,0,0,0,0,0,11,11,6,9,8,0,0,3,7,0,9,0,6,0,10,10,2,5,4,0,0
8,thimble,3,9,0,10,8,5,8,10,0,5,0,7,0,0,0,11,9,8,9,4,0,3,10,9,0,13,0,0,8,0,11,0,6,9,0,0,0,0,0,10,7,9,4,0,0,9,5,2,0,6,11,0,8,8,8,0,0,10,11,10,8,7,8,10,7,0,4,10,0,0,6,5,7,7,0,7,6,5,4,0
9,haystack,0,8,5,0,6,0,5,8,0,6,8,5,0,0,0,12,11,13,6,3,10,0,6,10,5,9,0,0,0,6,0,0,5,10,0,5,0,6,0,0,9,0,5,0,8,0,0,4,4,4,0,0,0,10,7,5,0,5,12,4,7,13,12,9,0,0,7,6,0,12,0,0,4,8,0,8,7,7,0,2
10,thorn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,5,0,9,0,0,0,0,13,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,10,0,1,0,0,0,0,0,1,0,11,0,7,0,0,0,0,0,0,1,0,0,9,11,0,8,6,0,0
11,hurt,8,0,0,0,5,4,0,9,2,0,0,8,2,0,0,4,0,1,0,6,0,7,0,2,0,5,0,7,2,8,10,9,9,0,0,0,2,0,10,11,0,0,0,0,7,4,4,0,6,2,3,4,0,2,0,0,3,12,0,2,9,12,7,0,3,0,6,0,0,3,2,10,3,0,4,0,0,10,0,0
12,injection,7,1,1,3,3,0,0,3,4,1,1,3,1,0,9,0,2,2,0,5,8,0,11,,0,4,9,1,1,7,13,2,3,1,11,7,3,1,7,2,4,2,3,0,0,5,3,0,0,0,4,9,6,3,5,0,4,1,4,0,10,14,11,1,4,1,8,3,2,5,3,9,0,0,6,4,0,1,0,3
13,syringe,0,2,2,0,4,1,0,5,0,2,2,4,0,6,0,0,3,3,7,0,7,2,1,3,4,3,0,2,6,0,14,4,11,2,5,8,0,2,1,3,2,3,12,1,6,12,0,0,3,0,5,2,9,4,0,1,2,2,0,0,6,10,10,2,0,2,9,4,0,4,0,8,2,11,5,5,0,3,5,4
14,cloth,1,0,3,1,2,2,2,1,3,3,3,1,0,4,2,1,5,4,2,1,5,1,3,11,6,2,0,3,5,10,3,5,1,0,4,0,0,3,8,0,3,4,1,2,2,1,1,5,2,11,1,1,10,6,0,2,1,4,1,5,0,1,2,3,0,3,1,2,1,1,0,11,0,1,3,6,0,0,0,5
15,knitting,2,3,4,2,1,3,1,2,5,4,4,2,0,5,1,2,4,5,1,2,6,0,2,1,7,1,1,4,4,9,5,6,2,3,9,6,4,4,0,1,1,1,2,3,1,2,2,0,1,1,2,0,7,0,4,3,0,3,2,6,1,2,1,4,1,0,2,1,0,2,5,0,1,2,2,3,1,11,0,1
othr,,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,1,2,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
CL,beautiful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ugly,8,9,7,7,11,13,5,10,12,6,1,0,7,11,5,12,11,8,10,3,8,4,4,10,3,2,6,7,0,8,10,9,1,4,8,5,1,1,6,8,8,1,8,10,4,8,6,7,5,9,5,8,2,6,2,0,5,10,9,0,4,9,1,1,3,7,5,5,4,5,1,5,6,11,7,1,4,4,1,1
2,pretty,7,7,8,9,9,12,3,7,10,3,2,0,8,10,3,13,10,9,9,0,9,5,1,11,2,3,7,6,0,9,9,10,2,5,2,6,3,2,7,7,7,2,9,11,5,7,2,6,6,10,6,9,3,7,4,0,4,9,10,0,5,10,2,2,4,6,6,6,5,4,9,2,7,6,9,2,3,3,2,0
3,girls,5,4,0,11,10,8,0,11,9,0,3,6,5,9,8,9,7,12,6,4,6,0,9,9,4,11,9,9,7,1,2,7,4,7,5,9,4,3,11,10,6,3,10,8,6,9,7,5,12,8,10,5,4,8,1,0,7,6,11,6,1,11,3,3,5,5,7,7,0,6,6,3,9,7,6,3,5,8,4,10
4,woman,4,6,9,12,8,7,6,12,0,8,4,0,6,8,7,8,8,13,7,0,7,0,0,7,6,10,5,10,8,2,1,8,0,8,6,8,2,4,8,11,5,4,11,9,0,10,8,0,8,7,8,6,5,9,3,0,6,8,0,5,0,12,8,8,6,0,8,8,0,8,5,4,0,8,0,4,6,9,3,11
5,homely,10,10,0,10,0,9,10,8,14,0,12,8,11,7,6,10,0,7,0,0,10,0,6,12,9,13,0,13,6,11,5,0,3,6,3,1,0,6,0,9,9,9,6,12,0,13,9,9,9,6,4,0,13,10,0,0,0,11,7,4,10,15,13,4,9,9,10,0,0,9,2,6,8,12,8,0,8,5,8,7
6,lovely,11,0,10,8,5,10,9,9,0,0,6,9,10,0,4,11,9,10,0,7,0,0,0,0,10,12,0,0,1,12,0,0,5,9,1,2,0,7,0,6,0,0,7,3,8,0,10,4,10,5,0,0,1,11,0,0,14,12,8,0,3,13,14,7,0,8,0,10,0,13,0,0,0,5,0,0,0,0,0,8
7,nice,0,8,0,13,0,11,2,14,11,10,0,0,9,0,0,0,12,11,0,0,0,0,0,13,0,14,0,12,10,10,0,0,0,0,4,10,0,0,9,0,11,10,14,13,7,12,0,0,0,0,0,0,0,14,0,0,13,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
8,picture,1,11,0,0,0,4,8,15,5,0,7,0,3,5,0,0,0,0,11,0,0,0,0,5,7,8,4,0,0,13,0,0,0,0,0,0,8,9,5,2,10,0,13,0,0,0,4,0,0,0,9,0,7,13,0,0,0,0,0,0,0,8,7,6,0,0,0,0,0,10,0,0,10,13,0,0,0,10,0,0
9,lady,0,5,11,6,6,6,0,13,6,9,0,7,4,6,0,7,0,0,8,0,0,6,10,8,5,9,0,8,9,3,11,6,6,11,7,7,0,5,4,12,4,0,1,7,0,11,0,0,7,0,7,7,6,0,0,1,8,7,12,0,2,7,4,0,7,0,9,11,3,7,4,10,0,0,5,5,7,6,0,9
10,mountain,9,0,1,5,3,0,7,4,8,2,9,3,1,3,2,4,6,1,4,6,11,2,7,4,8,5,0,11,11,5,6,1,7,12,10,4,5,11,3,0,13,5,12,4,3,6,5,0,3,11,2,0,8,1,0,2,9,1,6,0,7,5,10,5,8,1,0,3,6,12,0,8,1,9,3,7,9,2,6,4
11,snow,0,0,2,0,0,0,0,5,7,0,11,0,2,4,0,5,1,2,5,0,1,7,8,14,0,6,0,1,2,0,7,0,11,10,0,0,6,0,2,1,0,6,0,6,0,1,0,0,4,12,0,0,11,3,0,4,10,3,5,0,8,6,9,0,0,0,0,4,7,11,0,12,3,10,4,8,10,0,0,5
12,scene,2,1,3,4,4,5,0,6,1,1,10,4,0,0,1,6,2,3,0,5,2,0,5,6,0,4,0,2,3,4,8,2,0,0,0,0,0,12,0,3,12,0,3,0,0,2,3,8,11,3,3,0,12,0,6,0,11,2,2,0,0,4,0,0,0,2,1,2,8,0,8,7,0,1,0,10,11,0,5,3
13,music,0,2,4,1,0,1,0,3,2,0,0,0,0,0,0,3,3,4,0,0,3,0,0,1,0,0,1,3,0,6,0,3,8,1,11,0,0,10,0,0,3,0,2,0,0,3,0,1,0,2,0,2,0,2,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0,0,0
14,day,3,0,5,2,2,2,0,2,3,4,8,1,0,1,0,1,4,5,2,2,4,1,2,2,0,7,2,4,4,0,4,4,10,2,9,0,0,0,1,4,2,7,4,1,1,4,0,2,2,4,0,4,9,4,8,0,0,5,4,1,0,2,11,0,1,3,3,9,1,2,7,1,4,3,2,9,2,1,0,2
15,gorgeous,0,3,6,3,1,3,1,1,4,5,5,2,0,2,0,2,5,6,1,1,5,3,3,3,1,1,3,5,5,7,3,5,9,3,12,3,0,8,10,5,1,8,5,2,2,5,1,3,1,1,1,1,10,5,7,5,3,4,1,2,6,3,12,0,2,4,4,1,2,3,3,11,5,4,1,6,1,7,7,6
othr,,1,0,1,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
CL,cottage,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
1,house,0,9,8,7,1,7,11,5,0,8,1,9,2,7,1,13,8,7,3,0,5,5,11,4,2,6,9,9,4,1,3,5,8,3,1,5,1,3,2,1,8,4,8,0,2,0,0,5,8,2,6,0,1,0,1,2,5,14,6,0,9,11,3,5,0,5,0,5,3,1,5,3,0,8,3,1,0,6,1,4
2,lake,4,8,7,0,4,9,10,6,10,7,0,0,0,0,3,11,10,9,5,0,7,6,9,0,1,9,6,8,0,2,6,0,7,4,6,4,2,5,10,3,9,7,7,7,0,7,5,4,9,0,7,0,12,8,0,0,10,10,5,0,10,12,7,6,0,7,7,6,0,2,6,6,7,9,7,8,0,9,2,3
