Ss/list order:,words,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,57a,58a,59a,60a,61a,62a,63a,64a,65a,12b,13b,14b,15b,16b,17b,18b,19b,20b,21b,44b,46b,47b,48b,50b,52b,53b,54b,55b,56b,22c,23c,25c,26c,27c,28c,29c,30c,31c,32c,66c,67c,69c,70c,71c,72c,73c,74c,75c,76c,33d,34d,35d,36d,37d,38d,39d,40d,41d,42d,43d,77d,79d,81d,82d,85d,86d,87d,88d,89d
3,cheese,0,6,10,0,5,0,0,7,0,9,3,0,0,0,7,10,0,11,10,3,6,8,0,3,3,11,11,0,6,0,10,0,5,5,12,6,0,6,0,0,11,0,9,6,0,6,8,0,0,0,8,0,4,7,2,0,0,0,3,0,11,9,9,10,0,0,8,7,7,3,7,5,5,5,5,0,8,8,0,7
4,home,8,0,12,10,2,0,0,0,8,0,0,4,3,1,2,14,9,8,11,0,3,0,1,5,4,7,10,0,5,8,5,6,0,9,2,0,0,4,0,2,10,0,0,0,0,5,6,0,7,0,0,0,2,0,0,0,0,13,8,6,7,10,4,7,6,6,2,0,5,10,0,4,0,7,4,2,10,7,6,0
5,white,9,5,9,6,0,6,9,8,0,5,2,0,0,2,6,12,5,10,7,2,8,0,3,2,5,10,0,0,1,11,8,0,0,10,7,7,0,0,0,10,14,5,4,5,0,0,7,0,0,0,0,0,5,6,3,0,9,5,0,7,8,0,8,9,0,0,9,9,6,7,8,10,0,6,6,9,12,0,4,8
6,cabin,0,7,11,2,3,8,8,9,9,0,0,0,5,3,0,9,6,12,4,4,0,0,0,1,6,0,8,10,10,3,4,4,1,11,3,0,0,7,7,0,13,6,10,0,3,8,0,0,6,0,0,0,7,5,0,3,6,0,0,8,4,8,13,0,5,4,0,0,4,0,4,0,4,0,1,0,2,5,5,0
7,small,0,0,0,9,0,10,0,0,0,11,0,7,4,0,5,7,7,13,8,0,0,0,0,11,0,0,0,11,0,0,1,10,0,12,13,0,4,0,8,0,6,8,0,0,0,3,10,0,0,0,0,0,3,0,0,1,7,4,0,0,5,0,15,8,8,0,6,0,11,4,0,12,1,10,8,0,0,0,0,0
8,door,5,0,0,8,0,0,0,0,0,10,0,8,0,0,0,8,11,14,0,5,0,0,0,0,0,0,0,0,9,0,0,0,9,6,0,10,0,8,3,0,7,0,5,8,0,0,11,0,0,0,0,7,0,0,0,0,0,12,0,0,6,7,14,0,0,0,0,8,10,0,0,13,8,11,9,0,0,0,0,10
9,fence,6,0,3,5,0,0,6,0,7,3,4,0,0,0,8,6,14,15,9,0,0,4,7,0,0,5,12,5,0,10,0,7,10,7,8,0,0,9,4,9,0,1,6,10,5,0,9,0,0,0,0,6,0,9,0,5,0,9,0,0,0,6,10,0,7,0,0,0,8,8,0,11,0,0,10,7,4,0,0,9
10,vines,3,0,4,4,11,5,0,4,6,0,5,0,0,5,4,5,13,2,0,0,2,0,2,8,0,8,5,1,8,5,12,9,0,8,10,0,0,0,0,4,0,2,0,0,0,4,0,0,3,5,4,0,6,0,7,0,0,0,0,4,0,5,11,0,0,0,0,3,0,0,0,8,6,0,11,4,6,0,0,5
11,woods,10,0,0,3,10,0,0,0,1,1,8,5,0,0,0,0,0,1,6,0,0,0,0,0,0,0,7,2,11,0,13,0,2,0,5,9,0,10,5,0,0,9,11,0,0,0,12,0,0,4,9,0,11,2,6,6,1,8,4,5,0,0,12,1,1,0,0,4,9,0,0,9,0,4,14,0,7,0,0,0
12,ivy,11,2,0,0,6,3,1,0,2,2,6,3,0,0,0,4,1,3,0,0,0,0,5,0,0,4,4,4,7,7,11,2,4,13,9,1,7,12,9,5,1,3,12,1,0,0,1,0,4,0,5,4,0,1,8,0,3,7,7,3,1,1,6,3,2,0,1,0,2,9,1,7,0,0,12,0,3,3,0,0
13,roses,0,1,6,0,7,4,7,2,4,0,7,0,0,6,0,3,2,4,0,0,9,3,6,7,0,2,2,3,2,6,9,3,3,0,11,2,0,11,6,6,2,0,2,2,6,0,2,1,5,0,3,3,9,0,0,0,2,1,0,0,2,2,5,2,3,1,3,11,0,0,2,0,0,3,13,3,5,4,9,6
14,cozy,2,3,1,0,8,1,2,3,3,4,9,1,0,8,9,2,3,5,1,6,4,1,4,6,0,3,3,6,3,9,7,11,11,1,14,8,0,1,0,8,3,0,1,3,4,1,4,2,1,3,1,1,8,3,4,7,8,2,2,1,0,3,1,0,9,2,0,2,0,5,0,2,2,2,15,5,9,2,0,2
15,hut ,1,4,2,1,9,2,3,1,5,0,10,2,1,4,0,1,4,6,2,1,1,2,10,10,7,1,1,7,0,4,2,1,6,2,4,3,5,2,1,7,4,10,3,4,1,2,3,3,2,1,2,2,10,4,5,4,4,3,1,2,3,4,2,4,4,3,4,1,1,6,3,1,3,1,2,6,1,1,8,1
othr,,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
CL,whiskey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
1,drink,4,8,6,7,3,10,10,9,9,9,1,6,2,8,5,9,8,10,8,4,7,1,1,1,1,7,12,6,4,5,,,,,,,,,,,9,5,3,4,4,7,8,4,4,7,10,7,1,10,1,0,10,6,5,1,7,12,7,8,8,6,8,4,6,9,1,6,3,7,2,1,5,6,1,8
2,drunk,5,9,7,8,4,11,11,10,10,10,2,7,3,9,6,10,9,11,9,5,8,2,2,2,2,8,7,7,6,6,,,,,,,,,,,10,6,4,5,0,8,9,5,5,8,11,8,2,11,2,0,11,7,6,2,8,13,8,9,9,7,9,5,7,10,2,7,4,8,3,2,6,7,2,9
3,beer,0,6,5,3,2,0,7,12,6,7,11,0,10,11,2,11,10,9,0,6,9,8,10,8,9,9,6,10,10,0,,,,,,,,,,,8,12,12,7,5,0,7,6,11,1,8,4,3,6,4,0,5,5,7,3,6,10,9,4,6,9,4,6,8,7,6,12,2,10,4,7,4,12,3,11
4,liquor,10,7,0,0,12,0,9,11,0,0,5,5,11,0,0,0,0,8,0,0,10,0,9,7,8,0,11,0,8,8,,,,,,,,,,,11,0,8,11,6,0,0,0,8,2,7,0,11,8,0,1,6,4,0,0,10,11,13,5,0,0,6,0,9,0,0,8,0,14,0,4,0,13,4,0
5,gin,0,4,8,0,11,13,4,7,5,3,0,0,5,1,0,5,12,6,4,3,4,5,4,0,0,0,0,3,2,3,,,,,,,,,,,7,7,7,8,0,4,10,0,6,0,6,3,0,9,6,4,7,9,9,9,5,1,6,3,4,1,3,10,0,0,7,9,9,4,0,5,3,8,0,6
6,bottles,0,10,4,0,0,6,0,13,0,0,10,0,8,0,4,7,13,14,7,0,0,3,8,0,5,0,0,11,0,0,,,,,,,,,,,0,0,0,0,0,9,11,0,0,0,0,5,0,7,8,0,9,0,3,0,0,6,11,0,5,5,7,0,0,12,0,4,0,13,11,0,0,10,0,7
7,alchohol,6,0,0,0,5,9,6,0,8,8,0,0,7,6,0,12,0,7,5,0,0,0,0,0,3,6,8,8,0,7,,,,,,,,,,,12,9,5,13,8,0,5,0,10,3,0,0,5,0,3,2,0,0,8,0,9,9,0,10,7,0,10,7,10,8,8,11,0,0,1,3,0,5,0,10
8,rye,7,5,0,0,0,0,0,6,0,4,9,9,0,10,0,4,11,0,0,0,0,0,3,9,6,0,0,0,0,11,,,,,,,,,,,13,0,6,10,0,6,3,0,0,0,4,0,6,1,9,0,0,8,10,10,0,0,10,0,0,8,11,0,0,0,5,0,0,9,9,0,8,0,5,0
9,glass,0,11,0,0,6,5,13,5,11,0,0,0,0,0,0,8,6,12,0,0,5,0,0,0,11,0,4,12,0,0,,,,,,,,,,,6,4,0,6,0,0,12,0,0,0,12,0,0,2,0,0,0,0,4,11,0,7,12,0,0,0,0,0,0,13,0,5,0,11,10,13,0,11,11,0
10,wine,9,0,0,0,7,12,8,4,0,0,12,0,6,0,1,6,7,13,11,0,6,0,0,0,10,10,3,13,0,0,,,,,,,,,,,4,11,0,9,7,11,6,0,12,4,3,0,0,0,11,0,4,10,14,5,11,8,0,0,0,0,0,8,5,5,0,3,0,12,13,8,0,0,10,0
11,rum,0,0,0,5,8,7,2,8,7,0,4,8,9,3,8,0,1,4,3,0,0,6,0,10,7,3,0,2,9,4,,,,,,,,,,,5,0,10,12,0,5,0,0,7,10,13,2,8,0,0,0,8,0,13,0,4,2,4,0,0,2,0,0,0,4,10,0,1,1,0,6,0,4,0,4
12,bourbon,8,0,2,4,9,8,3,0,1,2,3,4,0,4,3,3,2,5,6,0,0,0,5,5,0,2,10,9,1,1,,,,,,,,,,,14,8,9,0,0,10,1,0,9,6,5,0,7,4,5,3,0,11,12,4,0,3,5,2,2,0,0,9,0,0,0,0,5,2,7,9,2,0,6,5
13,evil,1,1,1,6,10,1,5,2,3,5,7,1,4,0,7,2,3,1,10,7,3,4,6,4,4,4,9,5,3,9,,,,,,,,,,,3,1,2,1,1,1,2,1,2,0,2,6,10,0,10,0,1,1,1,7,3,5,1,6,3,0,1,3,0,2,3,10,6,6,12,12,7,2,9,1
14,bar,2,2,0,1,0,2,12,3,2,6,8,2,1,7,0,13,5,2,1,1,1,9,7,3,0,5,2,4,5,10,,,,,,,,,,,2,2,1,2,2,2,0,2,3,9,9,0,4,3,0,6,2,2,2,8,1,14,2,7,0,4,0,2,3,11,0,2,8,5,0,10,0,3,7,2
15,scotch,3,3,3,2,1,3,1,1,4,1,6,3,0,2,0,1,4,3,2,2,2,7,0,6,12,1,1,1,7,2,,,,,,,,,,,1,3,11,3,3,3,4,3,1,5,1,1,9,5,7,5,3,3,11,6,2,4,3,1,1,3,5,1,4,3,4,1,7,3,6,11,1,1,8,3
othr,,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,2,0,0,0,0,0
CL,swift,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,0,0,0,5,0
1,fast,0,5,8,0,8,0,9,7,8,0,1,6,10,0,2,10,11,13,5,6,8,1,6,9,2,10,0,0,8,1,3,1,1,6,1,4,1,6,5,2,7,0,0,0,3,8,7,6,10,0,5,5,1,8,1,0,6,10,5,8,8,6,8,4,6,0,5,7,6,4,1,6,4,11,4,1,3,10,1,10
2,slow,0,6,9,0,9,0,10,8,9,9,2,7,9,0,3,11,12,14,6,7,9,2,7,10,3,11,0,0,7,2,7,2,2,7,2,6,2,7,8,3,8,0,0,0,4,9,8,7,11,0,6,6,2,0,2,0,7,11,6,0,9,7,9,5,0,0,6,8,0,3,0,7,5,12,5,0,5,11,2,11
3,river,8,4,7,0,6,0,11,13,10,8,3,0,0,0,5,9,14,9,7,9,5,3,9,11,4,5,4,8,1,3,1,3,7,11,5,10,3,9,3,12,10,5,6,8,7,6,9,8,4,0,7,0,10,0,3,0,4,0,8,0,5,9,10,0,4,0,8,0,4,7,6,9,6,10,8,3,7,0,3,7
4,Jonathan,6,1,6,1,10,5,7,9,7,6,4,9,7,6,6,4,7,11,9,5,4,0,5,3,7,12,7,2,9,4,11,5,6,0,7,7,4,1,0,8,11,1,4,6,6,5,6,4,8,7,4,0,7,4,7,0,8,8,9,4,10,3,2,6,7,4,2,3,9,1,2,12,7,6,6,4,2,5,9,6
5,current,7,0,0,0,5,10,0,0,12,0,5,0,0,0,0,0,9,15,0,0,6,6,8,6,1,14,5,5,5,5,0,0,0,9,0,8,0,0,4,11,12,0,0,0,0,10,4,0,6,0,10,0,3,9,0,0,5,7,7,7,0,13,11,7,0,0,7,0,0,6,0,0,0,0,0,0,0,9,4,0
6,rapid,0,0,0,6,0,0,0,0,0,0,0,8,0,0,4,6,10,10,0,0,10,0,10,7,0,7,0,0,6,9,6,0,10,8,3,0,0,8,0,0,0,8,0,10,0,0,0,0,5,0,0,0,0,6,5,0,0,6,0,0,0,0,12,0,5,0,0,10,0,0,9,0,0,0,0,0,9,7,0,0
7,stream,4,7,0,0,7,9,5,0,11,0,6,0,0,4,0,7,8,8,0,10,7,0,12,0,5,6,0,0,0,7,5,4,8,4,4,9,0,11,0,10,9,7,0,9,8,7,5,0,7,0,0,7,4,5,4,0,0,5,3,6,6,10,7,0,0,0,0,9,0,11,7,11,0,8,0,9,6,8,0,8
8,water,0,0,0,0,0,11,0,0,0,0,11,0,5,0,8,8,13,12,0,0,0,0,0,0,6,9,6,0,0,8,13,0,9,3,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,7,0,1,0,0,4,0,7,0,13,0,8,0,9,12,7,8,0,10,0,9,0,0,0,0,0,9
9,quick,5,0,10,7,0,7,8,10,0,2,0,0,0,0,7,12,0,0,0,0,0,0,11,8,10,0,0,0,0,0,4,9,0,0,9,5,8,0,0,0,6,0,5,7,5,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,8,3,9,0,0,0,11,0,0,0,8,0,0,0,2,4,4,0,0
10,Gulliver,0,0,5,2,2,6,0,4,6,5,7,10,0,5,0,3,6,1,10,8,0,7,4,2,8,13,0,3,2,6,12,6,5,5,6,0,0,0,0,9,4,4,3,5,0,11,10,5,9,4,9,0,8,3,8,0,0,9,10,5,11,4,0,8,2,0,1,4,10,2,3,13,0,1,7,5,8,6,6,5
11,run,3,0,1,4,0,8,4,11,1,1,8,0,8,0,0,13,1,2,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,8,0,0,0,0,1,5,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,1,12,9,3,5,4,0,0,0,0,6,0,12,0,4,1,3,3,6,0,0,0,0
12,sure,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,3,1,1,0,0,13,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,5,0,0,0,0,0,0,13,0,5,0,0,0,7,0,0,0,1
13,deer,9,0,2,5,3,2,3,3,3,3,9,2,0,0,0,0,3,0,0,0,1,0,1,4,0,2,0,6,4,12,8,0,4,1,0,1,0,3,7,5,1,0,1,2,0,2,2,1,2,1,1,2,5,0,0,0,2,2,2,1,2,12,0,1,3,1,3,0,1,10,8,2,2,2,2,0,0,2,0,2
14,car,2,0,3,0,4,3,1,0,4,4,12,3,2,0,0,1,4,5,3,3,2,4,2,5,0,3,1,7,0,10,9,0,0,0,0,2,5,4,1,4,2,0,0,0,0,3,3,2,3,2,2,3,6,1,0,0,1,3,0,2,4,1,6,2,0,2,0,2,2,0,0,3,3,4,9,10,0,3,7,3
15,author,1,3,4,3,1,4,2,2,5,7,10,1,0,3,1,2,5,6,4,4,3,5,3,1,9,4,3,1,3,11,10,8,3,2,10,3,0,5,2,6,3,3,2,4,1,4,1,3,1,3,3,1,9,2,0,5,0,4,1,3,1,2,1,3,1,3,4,0,3,9,5,1,9,5,1,8,1,1,8,4
othr,,0,0,0,0,0,0,1,4,0,0,1,1,5,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0
CL,trouble,0,0,0,8,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bad,6,5,0,4,6,11,0,5,8,0,5,0,4,0,2,7,9,7,5,6,9,2,0,2,0,10,9,12,7,1,7,1,1,5,1,6,1,0,7,1,10,5,1,5,6,0,0,9,2,0,0,0,1,11,1,0,7,5,7,5,8,10,4,4,0,2,4,8,0,0,0,9,0,1,2,1,7,5,1,0
2,shooter,0,6,0,0,7,12,8,0,9,8,7,0,0,0,6,10,0,8,0,7,10,0,0,4,0,9,10,8,4,2,9,5,5,6,2,0,0,5,2,2,6,8,2,0,0,9,0,0,3,0,0,0,2,12,2,5,0,7,8,6,7,11,3,5,0,0,5,0,5,0,2,10,5,9,1,2,6,7,0,5
3,worry,0,7,0,0,0,9,0,0,11,0,0,0,8,0,0,12,0,0,0,0,0,6,5,8,0,6,4,0,11,10,5,0,3,7,5,0,10,12,0,3,0,0,0,0,0,8,0,8,6,0,0,0,0,9,0,0,10,6,10,7,0,9,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,6,2,0
4,danger,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,5,11,0,0,10,0,0,0,0,10,0,0,5,0,0,4,8,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,12,0,0,9,0,8,0,0,0
5,sorrow,0,0,6,9,11,0,7,6,13,0,10,7,7,0,0,0,0,0,7,0,7,0,8,0,0,8,5,4,9,3,0,0,11,0,0,5,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,0,5,0,9,0,10,0,0,0,6,10,0,7,0,0,0,0,0,9,0,0,0,0
6,fear,0,0,0,0,0,13,5,0,0,0,0,0,9,0,0,9,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,4,11,6,0,9,9,5,6,0,0,0,0,0,0,0,0,0,0,0,8,3,0,5,6,9,0,6,9,4,8,11,7,6,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0
7,school,4,8,0,0,8,6,10,0,10,4,8,0,0,0,1,5,7,10,1,5,8,0,0,5,1,4,3,7,5,0,8,6,9,3,8,0,0,10,3,7,5,7,0,0,0,4,0,6,4,6,4,10,4,7,0,0,0,8,9,8,5,7,7,8,0,0,9,6,6,3,0,5,7,6,5,7,5,3,8,6
8,problem,0,0,0,0,9,7,13,0,12,0,0,0,0,8,0,6,0,0,2,0,0,3,0,6,0,5,0,13,0,0,0,8,0,4,10,4,4,8,0,0,0,0,7,0,0,0,0,7,0,0,0,11,5,5,0,0,0,9,0,0,6,14,0,9,0,0,0,4,0,2,0,7,6,7,4,0,0,4,9,7
9,police,0,0,4,1,10,5,12,3,7,9,9,3,2,0,3,4,8,9,3,2,0,4,7,3,2,0,0,10,8,5,6,0,7,8,4,0,3,0,4,0,0,0,8,0,0,6,4,4,5,1,5,3,0,10,6,1,6,0,0,0,0,5,8,10,4,1,8,5,0,4,0,3,4,0,3,3,4,0,5,0
10,fight,7,0,3,0,0,0,11,0,6,7,0,4,3,6,5,0,1,1,8,0,1,0,4,0,3,0,0,6,0,0,0,0,10,1,0,0,2,0,0,0,0,0,0,0,0,5,5,5,0,0,0,6,0,8,0,2,5,0,0,0,0,6,9,0,5,3,0,0,0,0,0,4,0,2,0,0,9,9,3,0
11,sad,0,1,5,3,4,8,0,0,1,0,4,5,6,1,0,8,5,2,6,3,2,0,0,10,0,7,0,5,6,4,3,0,2,0,0,0,0,6,8,0,0,4,0,0,5,7,0,0,7,3,0,0,0,4,0,0,0,0,4,0,10,13,0,0,0,6,0,0,1,1,1,13,0,3,6,0,0,10,4,4
12,difficulty,5,2,7,7,5,1,4,4,2,1,6,6,0,2,0,3,2,3,0,4,3,5,6,7,6,2,0,3,0,8,4,4,6,0,7,3,6,0,6,8,4,3,5,4,1,0,0,0,0,2,2,9,6,6,7,3,4,4,3,1,3,1,6,0,0,0,0,9,2,0,0,6,0,0,0,5,0,0,6,8
13,help,3,0,0,6,2,2,1,0,3,2,0,0,0,3,0,0,0,4,0,0,6,0,1,0,0,0,7,9,1,9,0,0,0,0,0,1,0,1,9,0,1,2,3,1,2,1,3,1,0,4,0,0,0,1,0,0,1,1,0,2,0,2,0,1,1,0,1,3,0,8,0,8,1,4,0,4,2,0,0,2
14,maker,1,3,2,5,3,3,2,0,4,3,2,2,5,4,4,1,3,5,0,9,5,0,2,0,0,3,1,1,2,6,1,3,0,0,9,2,8,2,0,0,2,0,4,2,3,2,2,2,0,5,3,2,7,2,0,0,2,2,1,3,2,3,0,2,2,5,2,2,4,5,4,1,2,5,8,8,3,1,0,3
15,jail,2,4,1,2,1,4,3,2,5,5,3,1,1,5,0,2,4,6,4,1,4,1,3,1,4,1,2,2,3,7,2,2,8,2,3,7,7,3,1,9,3,1,6,3,4,3,1,3,1,0,1,1,8,3,8,4,3,3,2,4,1,4,1,3,3,4,3,1,3,6,3,2,3,8,7,6,1,2,7,1
othr,,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,1,0,0
CL,stove,8,0,0,0,0,0,9,0,0,0,12,0,0,7,0,11,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,10
1,hot,5,0,10,1,4,7,12,7,9,0,7,3,1,1,1,5,0,9,4,1,5,7,1,1,6,3,3,2,4,1,1,1,8,5,1,0,1,1,7,0,7,1,1,5,3,9,4,4,6,8,0,5,1,3,0,0,6,5,4,8,5,11,1,8,8,4,4,5,7,6,0,5,7,8,1,1,2,3,1,7
2,heat,6,8,9,2,5,8,4,0,10,6,6,4,2,2,2,7,0,8,3,2,6,0,2,2,7,2,4,3,7,2,2,2,6,0,2,2,2,2,0,10,8,2,2,6,4,8,0,5,7,4,0,4,2,4,4,0,5,6,5,3,6,10,2,9,0,5,3,6,8,7,9,6,0,7,0,2,3,4,2,8
3,pipe,0,5,11,3,8,5,6,12,0,0,0,6,0,0,0,4,0,11,0,0,7,10,6,7,0,10,2,4,3,0,4,3,4,6,4,7,0,0,5,9,0,0,3,0,0,10,6,0,5,0,0,0,8,0,0,0,0,0,0,0,0,9,9,0,0,7,0,0,11,0,0,4,8,11,11,0,0,12,3,6
4,cook,0,6,5,4,9,0,3,5,4,0,8,0,0,0,6,8,7,14,7,0,0,0,0,0,0,12,0,5,0,0,3,0,7,7,11,9,8,4,0,8,9,0,5,0,6,0,7,6,10,7,0,11,3,0,1,0,9,0,0,0,0,0,0,1,9,0,0,0,0,0,3,0,0,9,10,3,9,0,0,5
5,warm,0,0,8,0,6,0,0,6,0,0,0,0,3,0,0,6,9,6,5,7,9,6,0,3,8,8,0,0,0,3,0,8,9,9,3,0,3,3,6,0,0,7,10,0,0,0,5,0,8,0,0,6,0,0,3,0,4,0,0,9,9,8,3,6,7,0,0,0,0,0,4,10,0,0,2,0,7,5,0,0
6,fire,0,7,0,9,7,0,0,10,8,0,0,0,4,4,0,12,8,5,0,0,0,0,0,4,0,7,5,11,8,4,6,0,0,10,0,0,9,0,2,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,7,0,0,7,10,12,3,0,7,0,4,0,0,11,6,14,3,0,8,0,8,0
7,oven,9,0,6,8,0,0,0,0,6,0,10,0,5,0,3,0,0,10,8,0,0,0,0,0,4,5,6,10,9,10,0,5,0,11,5,0,4,10,3,0,0,9,12,0,7,6,0,0,2,9,0,9,0,5,8,0,8,0,8,0,0,4,5,7,0,0,5,8,0,0,8,3,5,13,9,7,0,7,5,0
8,wood,0,0,0,0,0,0,0,0,7,0,9,0,0,0,4,0,6,13,6,0,0,0,4,0,0,0,0,0,11,0,7,0,0,0,9,0,6,0,8,0,0,0,0,7,0,11,0,0,9,0,0,8,5,0,0,0,0,8,6,0,0,5,7,11,0,0,0,0,12,0,6,0,0,4,6,0,0,0,0,9
9,kitchen,7,0,0,0,10,6,8,11,5,1,11,5,6,3,0,0,0,15,0,0,8,11,7,0,0,9,9,0,10,8,0,4,0,8,0,8,5,11,4,0,0,0,4,8,5,7,3,7,0,6,0,0,0,0,2,0,3,7,0,10,2,6,0,2,6,6,0,0,9,0,0,7,0,10,0,8,5,6,0,4
10,lid,0,0,7,0,11,0,7,0,0,0,0,0,0,0,5,0,0,7,0,0,0,9,0,9,0,0,7,6,2,6,0,0,5,4,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,10,0,0,0,1,0,0,0,0,0,12,8,0,0,0,0,7,0,0,0,8,0,0,0,0,6,2,0,0
11,coal,10,2,4,5,0,0,10,9,0,4,1,0,7,0,8,9,1,12,0,0,0,0,3,10,1,4,0,8,1,0,8,0,0,0,8,4,0,9,0,2,2,0,7,0,0,1,0,0,0,0,5,0,0,0,0,2,0,0,0,0,7,0,0,10,1,0,0,9,6,0,0,0,1,5,0,0,4,9,4,0
12,gas,1,1,0,6,0,1,5,4,0,2,2,0,0,0,9,0,2,1,10,6,1,5,0,0,2,0,0,7,0,0,9,0,0,12,0,3,0,6,0,3,3,0,8,1,0,2,0,0,0,0,3,7,4,1,6,3,0,3,0,2,8,0,0,0,2,3,0,4,1,0,5,0,2,6,0,9,0,10,0,0
13,iron,2,3,1,0,1,2,0,2,1,0,3,0,9,0,0,2,3,2,0,0,2,1,0,8,0,11,8,0,0,5,11,0,2,0,10,10,7,8,9,4,4,3,9,2,0,3,8,1,0,2,2,3,0,2,5,4,0,1,3,4,1,1,0,3,0,0,0,2,2,3,0,9,0,2,7,4,0,11,0,1
14,range,3,0,2,0,2,3,2,3,2,3,4,1,0,5,0,3,4,3,2,4,3,2,0,5,3,6,0,9,6,9,5,7,3,1,6,0,0,5,0,5,5,4,0,3,1,4,2,2,3,3,4,2,6,0,7,0,0,2,1,5,4,2,4,4,4,1,1,3,3,1,1,2,3,3,8,5,0,8,6,2
15,furnace,4,4,3,7,3,4,1,1,3,5,5,2,0,6,7,1,5,4,1,3,4,3,5,6,5,1,1,1,5,7,10,6,1,2,7,1,0,0,1,6,6,5,6,4,2,5,1,3,1,1,1,1,7,0,0,5,2,4,2,6,3,3,6,5,5,2,2,1,5,2,2,1,4,1,0,6,1,0,7,3
othr,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,0,0,0,1
